State,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
Alabama,42.4,41.6,45.7,48.3,45.8,43.9,43.9,42.4,48.3
Alaska,37.0,34.7,39.7,41.7,44.0,37.9,39.1,40.2,44.1
Arizona,41.9,38.2,38.3,38.5,41.6,41.5,41.8,38.9,45.6
Arkansas,44.2,46.6,47.0,49.7,50.5,45.4,46.2,41.7,48.8
California,38.9,40.5,44.2,44.2,44.2,43.7,48.0,40.0,47.4
Colorado,45.2,44.3,48.3,51.8,49.0,49.1,49.9,45.2,51.6
Connecticut,47.5,46.4,46.5,51.8,52.8,52.6,52.7,46.3,56.8
Delaware,46.6,46.1,51.3,50.0,53.3,50.5,51.2,47.6,50.7
District of Columbia,46.4,46.6,47.4,47.3,46.7,47.6,48.3,48.3,48.3
Florida,36.5,36.9,34.1,37.5,39.2,39.5,43.3,35.6,40.9
Georgia,41.9,38.5,41.1,39.3,44.1,41.2,42.8,38.7,43.1
Hawaii,51.2,49.9,54.3,54.4,52.0,50.2,49.2,43.2,50.2
Idaho,37.2,34.3,37.8,37.9,42.2,39.2,39.5,37.0,43.6
Illinois,39.8,37.3,43.1,43.4,41.9,42.9,41.8,39.9,45.4
Indiana,39.3,40.0,42.2,41.5,44.7,43.2,43.6,37.0,47.9
Iowa,49.9,47.9,50.4,48.6,53.8,51.8,51.3,47.1,54.8
Kansas,46.2,44.8,40.7,47.0,48.0,44.4,43.9,41.1,50.7
Kentucky,46.8,42.7,46.6,46.9,48.3,44.2,45.0,44.1,49.6
Louisiana,46.3,44.4,47.1,44.6,44.7,44.0,41.6,35.3,41.6
Maine,46.5,45.7,50.0,47.8,49.5,49.0,49.9,41.2,48.8
Maryland,50.6,47.4,53.1,48.9,52.1,51.7,53.5,49.3,57.1
Massachusetts,52.0,50.1,57.5,53.3,54.9,50.4,50.3,49.7,58.9
Michigan,40.8,38.8,40.8,42.9,44.3,42.2,44.2,39.5,46.1
Minnesota,49.4,47.2,52.5,51.7,51.9,49.7,51.7,48.4,52.7
Mississippi,39.8,39.6,40.8,42.9,44.9,42.1,40.1,44.3,42.0
Missouri,43.3,41.8,46.4,48.3,49.1,47.4,46.4,42.4,50.0
Montana,37.6,36.8,41.7,41.9,44.4,43.8,42.2,42.1,48.7
Nebraska,46.8,45.2,50.3,51.0,54.0,49.1,52.3,47.0,54.2
Nevada,37.0,32.6,39.6,36.4,39.7,36.8,36.1,39.1,37.8
New Hampshire,43.6,43.8,48.9,48.0,52.1,50.9,50.4,43.7,52.0
New Jersey,42.8,42.8,45.3,46.1,46.8,45.4,49.1,48.1,48.1
New Mexico,46.7,44.6,48.1,46.6,49.6,47.4,49.2,43.7,49.9
New York,44.2,41.1,46.6,48.4,48.6,49.1,49.8,40.4,51.9
North Carolina,45.3,46.5,50.1,51.0,52.4,50.9,50.8,46.0,54.9
North Dakota,46.2,44.5,48.9,48.9,51.0,48.8,46.9,44.9,51.1
Ohio,43.5,43.7,44.8,44.7,46.1,43.8,46.6,42.8,50.4
Oklahoma,45.6,45.5,46.1,46.7,49.1,45.8,47.2,44.9,51.3
Oregon,37.5,38.0,40.1,42.2,44.3,42.0,40.0,40.5,48.3
Pennsylvania,43.4,43.5,46.2,46.3,50.3,48.2,53.3,46.0,54.2
Rhode Island,53.9,49.8,56.7,56.9,58.7,56.1,55.4,50.1,60.4
South Carolina,46.7,42.1,44.8,44.3,48.3,46.9,47.4,44.1,46.8
South Dakota,55.6,51.1,56.7,57.4,59.6,56.6,53.9,47.7,54.4
Tennessee,47.8,47.3,50.8,52.7,48.8,46.3,43.9,36.4,48.2
Texas,41.7,41.4,43.7,45.2,50.1,47.9,43.5,37.6,47.9
Utah,45.0,42.8,42.9,41.5,46.9,43.5,43.4,38.5,45.9
Vermont,45.4,45.5,49.6,50.0,49.9,49.2,47.3,43.6,51.9
Virginia,49.9,46.0,49.4,50.4,51.8,49.5,50.5,48.1,54.7
Washington,42.6,41.7,47.5,48.4,49.5,47.9,48.3,48.5,53.8
West Virginia,48.0,47.5,48.8,52.6,51.1,49.6,49.6,47.6,48.2
Wisconsin,42.4,40.8,40.6,42.3,44.1,42.7,43.7,40.4,50.9
Wyoming,41.6,37.1,39.2,37.6,40.4,38.1,38.9,35.3,40.7
